x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,-1.0661086493179361,32
0,0,2,1,2,0,2,3,3,3,1,3,-0.5400662794919301,55
0,1,3,1,1,1,0,1,2,1,1,3,-0.2725376295498442,87
3,0,3,1,2,1,1,2,3,1,3,2,-0.5400662794919301,116
2,3,1,1,0,3,0,2,0,3,1,1,-0.27253762954984406,140
2,1,2,0,0,1,2,2,0,0,1,1,0.004005950450408191,160
0,2,0,3,2,0,3,0,0,0,2,1,-0.5490812095500964,174
1,2,1,2,2,2,2,3,1,1,1,1,-0.8075949294340162,200
3,0,1,0,2,3,0,2,2,3,1,2,-0.7458717930355666,224
1,1,3,1,3,3,1,2,3,0,3,3,-0.33426076594829357,252
1,2,2,1,0,2,0,0,2,2,1,3,-0.2725376295498442,311
0,2,2,0,3,0,3,0,2,3,2,2,-0.5400662794919301,334
0,2,0,2,0,2,0,3,1,3,3,0,-0.5400662794919301,354
1,1,2,1,3,1,0,0,0,1,2,3,-0.5400662794919301,380
3,0,0,3,0,2,1,2,0,3,0,0,-0.5400662794919301,398
0,2,0,2,3,0,1,0,2,0,1,2,-0.33426076594829357,416
0,2,1,1,1,3,1,1,2,0,2,2,-0.5400662794919301,438
1,2,0,0,0,1,2,3,1,3,1,0,-0.5400662794919301,462
0,2,2,1,2,3,1,3,1,1,1,0,-0.5400662794919301,486
2,2,0,1,3,1,3,3,1,3,1,1,-0.5400662794919301,512
3,1,2,3,1,2,2,2,2,2,2,3,-0.3432756960064599,539
0,1,2,1,2,0,2,0,3,3,3,1,-0.5400662794919301,563
2,3,2,2,2,3,0,3,2,0,2,1,0.004005950450408191,585
3,3,3,3,0,2,3,2,2,0,2,1,-0.7368568629774003,608
0,0,2,0,0,0,3,1,2,1,0,3,-0.27253762954984406,624
3,0,1,1,1,1,3,0,0,1,2,0,-0.5400662794919301,647
2,0,0,1,2,3,1,2,0,1,3,3,-0.5490812095500964,668
0,3,2,2,2,3,1,1,3,3,0,3,-0.5400662794919301,695
0,1,3,2,2,1,1,1,3,1,3,1,-0.5400662794919301,721
1,1,1,0,1,3,2,1,0,2,0,1,-0.7278419329192339,746
3,2,2,1,1,2,1,1,0,2,2,3,-0.7368568629774003,769
2,2,3,3,0,1,0,3,1,1,0,1,-0.7368568629774003,793
3,1,2,3,3,0,1,1,3,2,1,1,-0.3432756960064599,819
3,0,1,1,1,1,2,2,3,3,0,0,-0.27253762954984406,846
3,2,0,3,2,3,3,0,0,1,0,1,-0.7458717930355666,868
1,1,1,3,0,1,2,2,0,3,1,3,-0.5400662794919301,894
2,3,3,0,1,0,0,0,0,3,2,2,-0.2725376295498442,915
2,2,0,3,2,1,3,1,0,2,3,2,-0.8075949294340162,935
1,2,2,0,0,1,0,1,2,0,2,0,-0.5400662794919301,954
1,0,2,0,1,2,2,1,1,3,2,2,-0.5400662794919301,980
1,1,1,2,1,0,1,0,2,3,2,0,-0.2725376295498442,1005
2,3,2,3,1,2,0,0,3,2,0,2,-0.5400662794919301,1027
0,2,3,0,1,2,0,3,1,2,3,2,-0.5400662794919301,1048
1,2,2,1,2,3,1,1,3,2,2,0,-0.27253762954984406,1074
3,3,3,2,2,0,1,0,2,2,0,2,-0.7368568629774003,1095
0,0,3,1,2,2,1,0,1,0,1,1,-0.807594929434016,1112
3,1,1,1,0,0,0,1,2,0,2,2,-0.5400662794919301,1132
2,1,0,2,2,2,3,2,0,3,3,0,-0.5490812095500964,1153
1,0,3,1,0,1,1,3,2,3,2,0,-0.5400662794919301,1176
1,2,0,0,1,0,2,1,0,2,1,1,-0.7368568629774003,1196
1,1,3,1,3,3,1,2,2,2,2,0,-0.5400662794919301,1223
1,1,2,2,3,2,2,2,3,2,0,3,-0.5400662794919301,1250
2,1,3,3,1,1,1,0,3,0,3,3,-0.5490812095500964,1276
0,3,2,2,2,1,2,2,2,2,0,2,-1.0661086493179361,1298
0,1,0,3,1,3,3,0,0,0,1,2,-0.3432756960064599,1319
0,3,3,2,0,2,1,2,0,0,3,3,-0.8075949294340162,1338
2,1,1,2,0,0,1,3,3,1,0,3,-0.7368568629774003,1360
2,2,2,0,2,3,1,0,1,2,0,0,-0.3432756960064599,1381
3,0,2,3,2,1,2,3,2,3,2,0,-0.5400662794919301,1405
2,0,1,1,3,2,0,0,3,3,2,0,-0.33426076594829357,1427
2,0,2,1,3,1,0,0,0,0,1,0,-0.5400662794919301,1445
3,3,3,1,2,1,3,2,3,3,0,0,-0.5400662794919301,1472
0,2,1,2,2,2,3,1,0,3,3,1,-0.27253762954984406,1493
2,2,2,3,0,2,3,0,2,0,1,1,-1.0661086493179361,1510
0,2,1,2,0,1,2,0,3,1,1,3,-0.2725376295498442,1533
0,0,2,0,3,3,3,1,0,1,0,0,-0.3432756960064599,1552
2,0,1,1,1,2,2,0,0,1,1,0,-0.5400662794919301,1573
1,3,3,0,2,1,2,3,1,0,1,1,-0.5400662794919301,1598
3,2,0,3,3,0,1,1,2,1,2,2,-0.5400662794919301,1622
0,3,1,0,2,1,3,3,0,3,2,3,-0.27253762954984406,1645
0,2,0,3,0,1,1,3,2,3,0,1,-0.27253762954984406,1665
3,2,3,1,2,3,1,2,2,1,0,2,-0.7458717930355666,1690
3,3,2,1,1,2,2,2,1,1,0,3,-0.5400662794919301,1719
0,0,0,0,3,2,2,0,0,0,0,2,-0.35229062606462624,1733
3,3,0,1,1,0,0,3,1,1,1,0,-0.27253762954984406,1758
0,1,2,0,0,3,0,2,2,2,3,0,-0.5490812095500964,1777
1,1,1,3,0,2,3,3,3,1,0,1,-0.5400662794919301,1803
1,1,3,3,2,2,1,1,1,2,3,1,-0.5400662794919301,1829
2,2,1,2,3,0,2,1,3,0,1,2,-0.5400662794919301,1852
