x0,x1,x2,x3,x4,x5,x6,x7,value,Timestamp
2,2,0,3,3,1,3,1,-0.38696772751525116,25
3,3,0,1,1,1,0,2,-0.12487241258091292,47
2,0,3,0,1,0,1,1,-0.2596020244086766,63
0,1,1,2,1,3,2,3,-0.5143334306218257,85
2,2,3,2,2,0,2,1,-0.5143334306218257,100
2,1,1,0,3,0,2,3,-0.38696772751525116,119
0,0,2,0,1,3,2,1,-0.38696772751525116,158
1,2,0,0,1,1,0,1,-0.6490630424495893,180
0,3,3,3,2,1,2,2,-0.12487241258091292,199
1,2,2,1,1,1,1,0,-0.12487241258091292,220
2,3,2,1,1,3,2,2,-0.38696772751525116,242
3,3,0,3,2,3,2,0,-0.38696772751525116,263
2,2,3,3,1,1,1,2,-0.38696772751525116,283
3,1,2,3,3,1,2,3,-0.12487241258091292,307
3,2,3,1,1,0,3,0,-0.38696772751525116,325
0,3,1,1,3,2,1,3,-0.38696772751525116,345
3,2,1,1,3,3,3,0,-0.38696772751525116,366
3,1,1,1,2,2,2,0,-0.38696772751525116,385
3,2,1,1,3,2,0,0,-0.38696772751525116,402
3,3,1,2,3,1,3,3,-0.5143334306218257,426
0,2,3,1,2,3,3,2,-0.12487241258091292,444
0,0,0,0,2,1,0,3,-0.12487241258091292,457
3,3,0,2,1,0,2,1,-0.6490630424495893,477
3,1,3,1,3,0,1,3,-0.12487241258091292,499
0,0,2,2,1,3,2,1,-0.38696772751525116,519
3,3,3,0,3,0,3,1,-0.38696772751525116,539
2,1,2,2,1,3,1,0,-0.5143334306218257,560
0,1,2,1,1,1,3,0,-0.38696772751525116,580
0,2,2,3,0,3,3,0,-0.6490630424495893,595
2,3,3,3,0,3,0,0,-0.12487241258091292,612
0,3,1,2,2,2,3,1,-0.12487241258091292,629
3,1,2,3,3,3,1,3,-0.6490630424495893,653
0,2,1,1,1,3,2,3,-0.38696772751525116,671
3,2,1,2,2,2,1,2,-0.6490630424495893,689
0,0,3,3,3,3,1,0,-0.38696772751525116,705
3,0,1,3,0,0,0,1,-0.12487241258091292,719
0,3,3,1,1,0,3,2,-0.38696772751525116,737
0,3,1,3,3,1,0,3,-0.38696772751525116,757
3,3,0,1,2,1,1,2,-0.38696772751525116,777
1,2,1,3,0,2,3,2,-0.12487241258091292,794
0,3,2,2,2,0,1,2,-0.12487241258091292,810
0,0,2,2,2,1,2,2,-0.12487241258091292,826
3,1,1,2,1,0,2,0,-0.38696772751525116,846
2,3,2,2,3,1,1,1,-0.5143334306218257,868
1,1,2,0,2,3,1,0,-0.2596020244086766,910
3,1,0,2,1,3,2,3,-0.5143334306218257,932
1,1,0,1,3,3,3,2,-0.6490630424495893,955
0,0,2,0,1,1,0,3,-0.38696772751525116,970
1,1,2,1,1,0,1,2,-0.38696772751525116,991
3,1,2,1,3,1,3,1,-0.12487241258091292,1014
1,2,1,0,2,1,2,0,-0.38696772751525116,1032
0,3,1,1,2,1,2,0,-0.12487241258091292,1050
2,0,2,1,2,3,2,3,-0.6490630424495893,1066
2,1,0,3,2,0,1,2,-0.6490630424495893,1082
2,3,1,0,1,1,2,1,-0.2596020244086766,1102
1,3,2,1,3,0,1,0,-0.38696772751525116,1122
1,1,2,3,1,1,1,2,-0.12487241258091292,1145
3,0,3,0,2,3,3,0,-0.38696772751525116,1163
2,0,2,1,0,0,1,1,0.26458860545999996,1175
0,3,1,1,2,1,0,2,-0.12487241258091292,1194
0,0,3,3,1,3,1,1,-0.38696772751525116,1211
0,3,0,1,0,1,2,2,-0.6490630424495893,1228
0,1,0,1,0,0,0,3,-0.6490630424495893,1241
1,0,2,3,2,1,0,2,-0.38696772751525116,1259
3,2,1,3,0,3,0,3,-0.38696772751525116,1277
2,2,1,0,0,1,0,1,-0.12487241258091292,1291
1,1,0,3,2,1,3,0,-0.38696772751525116,1311
0,0,3,3,1,1,1,2,-0.38696772751525116,1329
2,2,1,2,1,2,2,1,-0.2596020244086766,1347
1,2,0,0,2,3,3,0,-0.38696772751525116,1364
0,2,0,1,0,3,0,3,-0.6490630424495893,1377
1,1,0,1,3,3,3,0,-0.6490630424495893,1398
0,1,1,3,3,2,3,2,-0.38696772751525116,1416
3,3,1,3,1,0,3,1,-0.12487241258091292,1437
3,2,2,3,0,0,2,0,-0.6490630424495893,1452
1,0,2,1,3,0,1,2,-0.38696772751525116,1469
0,0,0,0,2,2,2,1,0.26458860545999996,1481
3,0,2,2,1,3,3,1,-0.12487241258091292,1501
2,0,0,0,2,3,2,1,-0.6490630424495893,1515
1,2,1,2,3,0,1,3,-0.38696772751525116,1534
3,3,0,0,0,0,0,2,-0.38696772751525116,1568
2,3,2,0,0,1,3,1,0.26458860545999996,1589
2,2,2,2,0,0,0,2,-0.5143334306218257,1602
2,2,1,3,3,0,2,1,-0.5143334306218257,1619
2,2,1,1,0,3,1,1,-0.12487241258091292,1636
3,2,3,0,3,1,1,0,-0.38696772751525116,1656
2,2,3,3,0,3,1,3,-0.12487241258091292,1672
1,0,2,1,2,1,1,1,-0.38696772751525116,1691
0,1,3,0,2,2,1,0,-0.12487241258091292,1706
2,2,0,3,3,2,1,1,-0.2596020244086766,1722
1,0,0,3,1,3,1,1,-0.12487241258091292,1742
3,1,0,2,1,3,0,3,-0.5143334306218257,1770
3,0,2,1,0,1,3,3,-0.38696772751525116,1788
2,0,3,1,3,2,2,2,-0.5143334306218257,1804
3,0,0,2,3,1,3,3,-0.6490630424495893,1824
1,1,1,1,3,1,0,0,-0.38696772751525116,1845
1,0,2,2,2,1,3,0,-0.38696772751525116,1864
0,3,2,3,2,3,0,2,-0.12487241258091292,1881
3,0,2,2,0,2,3,2,-0.6490630424495893,1896
3,1,3,3,0,0,2,1,-0.38696772751525116,1914
