x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
0,1,1,1,3,1,3,2,2,3,0,1,3,2,3,3,-2.4867274170830944,52
0,0,1,2,3,3,0,3,0,2,3,3,3,0,2,1,-6.799063117591629,86
1,1,0,3,2,1,1,0,2,1,0,0,1,0,2,1,-4.796685150445592,122
1,2,1,1,2,2,2,2,2,1,3,1,0,3,2,1,-6.546932820292346,166
3,3,3,2,1,2,2,1,0,2,3,2,0,0,0,2,-4.774368687558804,202
1,1,1,0,2,2,2,3,2,0,0,0,0,3,1,0,-4.916599832658559,237
2,1,2,3,0,2,0,0,0,1,2,1,1,1,1,3,-2.8351811798550233,274
0,1,2,1,0,1,1,2,1,1,3,3,1,0,1,3,-5.080735261070197,316
2,3,2,2,1,0,2,1,2,2,1,2,0,1,2,2,-6.2593246883595555,354
2,3,2,0,2,2,0,3,0,0,1,1,2,1,0,2,-3.1876115998654613,388
3,0,2,2,3,3,1,0,2,3,0,0,1,0,1,3,-3.936248184078076,421
2,3,2,2,3,3,2,1,2,2,3,1,3,3,2,1,-6.428998946789509,460
0,3,1,3,1,1,2,1,1,2,0,3,0,1,0,1,-4.829121109310696,499
2,2,3,3,3,1,0,3,0,0,3,2,1,0,0,2,-3.8242748839029095,535
3,1,3,2,3,0,2,2,0,3,0,0,2,1,1,3,-4.843374929035589,572
2,3,0,1,1,3,3,1,2,0,2,2,0,3,1,0,-6.397317816933148,606
1,0,3,0,1,2,3,1,2,2,3,1,1,2,3,2,-4.4262246805400505,646
0,2,3,0,2,1,1,3,0,3,0,1,3,1,3,1,-6.40631691781744,681
0,2,1,0,3,2,2,0,2,2,1,0,0,0,0,2,-3.712301583727743,712
0,1,1,1,2,2,0,2,3,3,0,1,3,2,2,0,-4.883113024078673,752
0,3,2,3,0,0,0,0,0,3,2,0,1,2,1,1,-6.4291650733354615,784
0,3,0,1,3,2,2,0,2,1,1,2,1,2,3,0,-3.001267861776479,820
3,3,0,1,1,2,2,0,2,1,0,1,3,0,1,2,-4.986005522053896,859
0,1,1,1,3,0,1,2,0,2,2,2,2,1,1,2,-6.428737972754501,895
3,3,2,3,3,0,1,0,3,2,1,1,1,0,1,2,-4.4929539124356594,938
1,1,0,3,0,2,1,2,3,1,2,3,3,3,0,2,-4.103156838105287,981
3,1,1,1,0,3,1,0,1,0,2,3,1,2,3,3,-5.059933579493794,1028
2,2,3,0,2,3,2,2,3,1,3,1,2,1,0,0,-4.393395336642204,1109
2,2,2,0,1,3,1,3,2,0,1,3,3,0,3,1,-6.269955137219581,1160
2,1,1,1,2,1,0,3,3,0,0,2,3,0,3,1,-4.741969932698661,1201
0,3,2,2,0,1,2,0,2,2,1,2,2,2,3,0,-2.8351811798550233,1234
2,2,1,0,1,3,2,0,2,1,3,0,2,0,1,3,-6.433473372671308,1269
0,0,2,2,1,3,0,3,3,1,2,1,2,0,2,3,-6.4269232371609135,1305
1,2,0,3,3,3,3,2,0,3,2,2,3,3,0,0,-6.430434864178805,1340
2,3,1,2,2,1,0,1,1,0,3,1,3,0,0,0,-4.444800826655181,1379
3,2,1,2,1,1,2,0,2,3,3,0,3,0,0,2,-4.775586089506396,1416
3,0,0,0,3,2,3,2,0,2,3,3,2,0,1,3,-5.15501671670145,1450
3,3,2,2,3,2,2,2,0,0,2,3,1,2,2,1,-4.804481770624765,1488
0,0,3,2,3,1,2,1,0,1,0,3,3,0,3,2,-6.428904099300453,1524
3,0,3,0,1,3,0,3,1,0,3,0,1,0,3,0,-4.772946953217636,1560
2,2,0,2,0,3,2,3,2,3,0,1,3,0,3,3,-5.203950198402659,1597
1,3,1,2,1,2,2,3,2,2,0,3,1,2,1,1,-4.8482334588980045,1640
0,0,2,3,0,1,3,3,2,0,3,2,1,0,0,3,-3.8047268925554607,1672
2,3,2,0,1,0,3,3,2,1,2,1,3,2,0,3,-6.428998946789509,1707
2,1,3,0,3,0,3,0,3,3,3,2,2,2,3,2,-4.715285352292126,1807
3,0,0,0,3,1,3,3,1,2,3,2,2,3,1,1,-4.6133754398607785,1853
0,3,3,1,1,2,1,3,3,0,0,3,2,2,1,3,-4.854531976170971,1893
3,2,0,2,1,3,1,3,1,2,1,1,0,2,0,2,-4.778923033597234,1931
2,0,2,3,0,0,2,1,3,3,3,3,0,0,3,2,-4.89797236967558,1969
2,3,1,1,3,2,0,2,2,0,2,1,0,1,1,2,-6.2593246883595555,2006
1,1,0,1,2,0,2,3,0,0,2,0,0,3,1,0,-4.716729822684712,2038
2,2,0,3,3,0,3,3,0,0,1,2,0,2,0,1,-3.865322186287338,2069
2,2,2,0,0,0,2,2,0,2,0,0,2,2,0,1,-4.904215804143268,2096
2,0,1,1,3,2,0,0,3,2,1,1,1,0,0,0,-4.0441620574959,2134
2,0,0,2,2,3,3,0,2,3,3,1,2,2,0,1,-6.400384105709266,2216
2,1,2,2,1,2,0,3,0,2,0,1,3,3,3,3,-3.3659936948649816,2251
0,2,0,1,0,2,1,0,1,1,2,3,1,1,0,2,-6.551519195261298,2291
2,3,1,0,1,0,3,3,1,0,3,3,3,1,3,0,-4.837769696030902,2330
0,0,3,0,0,2,1,0,2,3,1,1,2,0,1,1,-3.308033116216707,2366
0,3,0,2,3,0,1,0,3,0,1,2,2,2,0,3,-5.070465422134845,2400
2,1,1,3,3,1,0,1,3,2,2,1,3,2,1,3,-4.80364885852763,2442
2,2,1,1,0,1,0,3,1,1,1,2,2,3,1,1,-4.802831212899097,2482
0,3,3,3,2,0,1,1,1,2,1,3,3,2,0,2,-4.796488878747105,2524
1,3,0,1,2,3,1,1,3,1,0,2,0,2,1,1,-5.135520418089616,2564
3,2,2,1,2,0,3,0,3,0,1,0,1,3,2,0,-4.845901172858394,2600
1,2,1,2,3,1,1,1,0,2,3,0,2,0,2,1,-4.359083515424629,2636
2,1,2,2,3,0,3,1,3,3,3,0,3,3,3,2,-5.0073244712092695,2675
1,1,2,3,1,2,2,3,3,1,3,1,3,3,2,0,-4.692260542461897,2720
3,2,2,2,1,2,0,2,1,1,3,3,2,3,2,3,-4.829526403102987,2762
0,0,0,2,2,0,3,2,0,3,1,3,1,1,0,2,-6.385710598473967,2795
0,1,3,2,0,2,1,0,3,2,2,2,1,1,2,3,-4.818251673878176,2832
0,2,3,2,2,3,1,1,3,1,2,0,2,0,0,3,-5.258710074843609,2869
1,1,0,1,3,3,3,2,1,0,1,2,3,1,1,1,-4.721324163133815,2911
0,3,1,1,1,0,3,2,1,2,2,2,1,0,1,0,-4.750895416199963,2951
3,3,1,0,2,2,0,3,3,2,3,2,2,0,2,3,-5.215217535247751,2993
3,3,3,1,3,0,3,0,1,3,3,2,3,1,0,2,-4.8478852615634604,3038
0,1,3,1,1,1,1,3,2,0,1,1,3,2,2,2,-3.191835707953501,3080
0,1,2,0,1,3,3,3,3,0,2,0,0,1,2,2,-4.39993772040544,3113
3,3,1,1,2,1,3,2,3,2,1,2,1,2,0,3,-4.773358433288667,3157
1,2,0,3,1,0,3,3,0,2,1,3,1,1,2,0,-4.4262246805400505,3195
0,3,3,2,1,0,1,1,1,0,1,2,3,2,3,3,-4.802221453062677,3234
2,2,1,2,1,0,2,1,3,1,0,3,2,0,2,3,-4.732479000099973,3273
2,1,0,3,1,3,3,2,1,0,0,0,0,3,2,0,-4.845681613208807,3306
3,3,0,2,1,0,1,0,0,3,3,0,1,2,1,0,-4.655392849993802,3382
2,3,3,2,0,0,3,3,3,3,3,2,1,1,3,1,-4.890827356409199,3424
1,2,3,1,1,2,3,3,1,0,0,1,0,3,2,0,-4.845901172858394,3463
3,2,0,2,1,1,0,2,3,3,1,1,0,1,1,1,-4.850232240319778,3504
2,3,3,2,1,2,3,0,3,3,3,1,1,1,1,1,-4.68457872601917,3550
2,1,3,3,3,1,0,1,2,2,2,3,2,0,3,3,-6.431294949778442,3591
2,2,0,1,1,2,0,3,3,1,0,0,1,3,1,3,-3.1124205337639625,3628
