x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,-0.9999999999999998,35
3,3,2,1,3,3,3,0,0,3,2,1,-1.1102230246251565e-16,38
3,0,3,1,2,1,0,2,3,2,2,2,-1.6653345369377348e-16,40
2,2,0,0,1,0,3,0,2,0,1,2,0.9999999999999998,42
2,2,2,0,3,1,3,3,2,0,1,3,3.885780586188048e-16,44
1,2,0,0,0,1,0,0,0,0,0,1,-5.551115123125783e-17,47
3,2,1,1,1,3,0,3,1,1,2,2,-5.551115123125783e-17,49
3,2,1,2,0,2,1,0,0,2,0,2,-4.996003610813204e-16,51
2,0,2,2,1,3,2,3,1,1,1,0,-1.0,54
3,0,0,0,2,3,2,3,1,2,2,1,0.0,56
3,0,3,2,0,3,2,0,0,1,1,2,0.9999999999999996,59
0,2,1,2,0,2,2,0,2,2,3,2,-0.9999999999999996,61
2,1,0,2,0,1,1,0,1,2,1,1,-1.1102230246251565e-16,63
2,1,1,2,0,3,1,1,1,2,1,3,2.7755575615628914e-16,65
2,0,1,2,3,3,3,3,1,2,2,2,-0.7071067811865476,67
2,0,2,2,3,0,2,1,0,1,0,2,1.1102230246251565e-16,70
0,2,3,3,3,2,3,3,2,2,2,0,-1.0,72
2,1,3,3,1,2,2,2,3,3,2,1,-0.9999999999999997,74
1,2,0,2,2,0,1,1,0,2,0,3,-3.3306690738754696e-16,76
0,0,2,3,3,1,2,3,2,3,3,1,2.220446049250313e-16,79
2,0,0,2,0,0,3,2,2,0,0,3,-1.0,81
0,3,2,2,2,1,3,0,3,0,1,0,-2.7755575615628914e-16,85
1,3,0,0,1,1,2,3,1,0,3,0,-2.7755575615628914e-16,88
1,0,1,3,3,2,3,2,0,3,3,3,-2.220446049250313e-16,90
0,0,2,0,2,1,3,0,2,2,0,1,-1.1102230246251565e-16,95
3,3,3,2,1,0,3,2,3,3,1,3,-0.7071067811865476,100
2,3,2,0,3,2,2,3,3,0,3,2,-1.6653345369377348e-16,106
1,1,1,2,3,2,1,1,0,2,2,2,0.0,109
3,3,0,3,3,2,3,1,1,3,1,2,2.220446049250313e-16,112
2,0,1,0,0,0,2,0,3,3,2,0,5.551115123125783e-17,114
